"TABEL IDENTIFIKASI KETERSEDIAAN DAN KEBUTUHAN FASILITAS EVAKUASI TINGKAT ZONA KOTA PADANG, PROVINSI SUMATERA BARAT",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
SEKTOR E,71,Zona 47,53.7292703823,4226.34599264,JALAN KAKI,46,MESJID ISTIQLAL (Bangunan yang diusulkan),4226.34599264,Jln. Raden Saleh - Jln. Kyai Ahmad Dahlan - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 47,53.7292703823,4226.34599264,JALAN KAKI,160,SDN 26 RIMBO KALUANG (Bangunan yang diusulkan),4226.34599264,Jln. Raden Saleh - Jln. Kyai Ahmad Dahlan - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 48,100.999994519,10203.685501,JALAN KAKI,42,DINAS PU PROP SUMATERA BARAT (Bangunan yang diusulkan),10203.685501,Jln. Kyai Ahmad Dahlan - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 48,100.999994519,10203.685501,JALAN KAKI,43,HOTEL IBIS (Bangunan yang diusulkan),10203.685501,Jln. Kyai Ahmad Dahlan - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 48,100.999994519,10203.685501,JALAN KAKI,45,UNIVERSITAS TAMAN SISWA (Bangunan yang diusulkan),10203.685501,Jln. Kyai Ahmad Dahlan - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 48,100.999994519,10203.685501,JALAN KAKI,48,BAPPEDA PROV SUMBAR  (Eksisting),10203.685501,Jln. Kyai Ahmad Dahlan - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 48,100.999994519,10203.685501,JALAN KAKI,49,ERLANGGA (Bangunan yang diusulkan),10203.685501,Jln. Kyai Ahmad Dahlan - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 48,100.999994519,10203.685501,JALAN KAKI,50,MESJID RAYA SUMBAR  (Eksisting),10203.685501,Jln. Kyai Ahmad Dahlan - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 48,100.999994519,10203.685501,JALAN KAKI,55,SMAN 3 PADANG (Bangunan yang diusulkan),10203.685501,Jln. Kyai Ahmad Dahlan - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 49,57.8449712794,5935.24803058,JALAN KAKI,52,SMKN 5 PADANG  (Eksisting),5935.24803058,Jln. S. Parman - Jln. Nusa Indah - Jln. Raden Saleh - Jln. Kyai Ahmad Dahlan - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 49,57.8449712794,5935.24803058,JALAN KAKI,53,SMPN 7 PADANG (<500)  (Eksisting),5935.24803058,Jln. S. Parman - Jln. Nusa Indah - Jln. Raden Saleh - Jln. Kyai Ahmad Dahlan - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 50,43.0000020272,2357.39166101,JALAN KAKI,LANGSUNG MENUJU TEA,SMPN 7 PADANG (<500)  (Eksisting),2357.39166101,Jln. Belanti Barat Raya - Jln. Khatib Sulaiman - Jln. Gunung Sago - Jalan Baledang - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 51,73.0000037707,5463.71319451,JALAN KAKI,51,STMIK INDONESIA (Bangunan yang diusulkan),5463.71319451,Jln. Perumahan Filano - Jln Baledang - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 51,73.0000037707,5463.71319451,JALAN KAKI,54,SMK TEKNOLOGI (Bangunan yang diusulkan),5463.71319451,Jln. Perumahan Filano - Jln Baledang - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 51,73.0000037707,5463.71319451,JALAN KAKI,56,SMAN 1 PADANG  (Eksisting),5463.71319451,Jln. Perumahan Filano - Jln Baledang - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 51,73.0000037707,5463.71319451,JALAN KAKI,57,SMPN 25 PADANG  (Eksisting),5463.71319451,Jln. Perumahan Filano - Jln Baledang - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 51,73.0000037707,5463.71319451,JALAN KAKI,59,TELKOMSEL (Bangunan yang diusulkan),5463.71319451,Jln. Perumahan Filano - Jln Baledang - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 52,52.0000038254,1431.31233674,JALAN KAKI,LANGSUNG MENUJU TEA,TELKOMSEL (Bangunan yang diusulkan),1431.31233674,Jln. Kelurahan Lubuk Lintah - Jln. Banda Gadang - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 53,43.3671139378,4425.25750436,JALAN KAKI,58,SDN 15 LOLONG (<500)  (Eksisting),4425.25750436,Jln. S. Parman - Jln. Jakarta - Jln. Khatib Sulaiman - Jln. Joni Anwar - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 54,61.9999988752,4951.86570552,JALAN KAKI,61,DITJEN PERBENDAHARAAN PROV SUMBAR (Bangunan yang diusulkan),4951.86570552,Jln. Perjuangan - Jln Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 54,61.9999988752,4951.86570552,JALAN KAKI,63,STIKES ALIFAH (Bangunan yang diusulkan),4951.86570552,Jln. Perjuangan - Jln Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 54,61.9999988752,4951.86570552,JALAN KAKI,65,BPK (Bangunan yang diusulkan),4951.86570552,Jln. Perjuangan - Jln Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 54,61.9999988752,4951.86570552,JALAN KAKI,154,SMP PERTIWI (Bangunan yang diusulkan),4951.86570552,Jln. Perjuangan - Jln Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 55,93.9999984085,7562.7348971,JALAN KAKI,66,MESJID DARUL MUKHISIN (Bangunan yang diusulkan),7562.7348971,Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 56,47.9999967769,4301.40961328,JALAN KAKI,62,STIE AKBP (Bangunan yang diusulkan),4301.40961328,Jln. Jakarta - Jln. Khatib Sulaiman - Jln. Joni Anwar - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 56,47.9999967769,4301.40961328,JALAN KAKI,64,PT SUKAFAJAR (Bangunan yang diusulkan),4301.40961328,Jln. Jakarta - Jln. Khatib Sulaiman - Jln. Joni Anwar - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 56,47.9999967769,4301.40961328,JALAN KAKI,67,PASCA SARJANA UBH (Bangunan yang diusulkan),4301.40961328,Jln. Jakarta - Jln. Khatib Sulaiman - Jln. Joni Anwar - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 56,47.9999967769,4301.40961328,JALAN KAKI,69,GEDUNG DAIHATSU DAN ACC FINANCE (Bangunan yang diusulkan),4301.40961328,Jln. Jakarta - Jln. Khatib Sulaiman - Jln. Joni Anwar - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 56,47.9999967769,4301.40961328,JALAN KAKI,161,SDN 14 BELANTI (Bangunan yang diusulkan),4301.40961328,Jln. Jakarta - Jln. Khatib Sulaiman - Jln. Joni Anwar - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 57,53.9999960457,4441.19524555,JALAN KAKI,LANGSUNG MENUJU TEA,SDN 14 BELANTI (Bangunan yang diusulkan),4441.19524555,TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 59,81.4268246819,6515.85112131,JALAN KAKI,70,DPRD SUMATERA BARAT V,6515.85112131,Jln. Khatib Sulaiman - Jln. S. Parman - Jln. Joni Anwar - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 59,81.4268246819,6515.85112131,JALAN KAKI,71,PSDA PROV SUMBAR (Bangunan yang diusulkan),6515.85112131,Jln. Khatib Sulaiman - Jln. S. Parman - Jln. Joni Anwar - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 59,81.4268246819,6515.85112131,JALAN KAKI,72,VILLA HADIS (Bangunan yang diusulkan),6515.85112131,Jln. Khatib Sulaiman - Jln. S. Parman - Jln. Joni Anwar - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 60,36.5,1238.863221,JALAN KAKI,LANGSUNG MENUJU TEA,VILLA HADIS (Bangunan yang diusulkan),1238.863221,Jln. Kelurahan Gurun Laweh - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
SEKTOR E,71,Zona 61,99.9992224885,10755.942509,JALAN KAKI,68,GEDUNG SEKOLAH AL AZHAR 32 PADANG  (Eksisting),10755.942509,Jln. Joni Anwar - Jln. Gajah Mada - Jln Ke PDAM - TEA E1 Gunung Pangilun,"REKOMENDASI 
(Jalan, Jembatan, dll)",E1,Gunung Pangilun (rekomendasi),80684
